depth,tn,td
10,8.429313348040093,142.94710421977766
20,8.842691855277476,141.31725986164892
30,9.10942150783303,134.80204360229985
50,9.267444057844424,120.15739601478846
75,9.36672037604324,105.17081276211083
100,9.539655918943257,91.63187334495161
125,10.4235925676782,81.10719415433788
150,11.846904822849465,70.66239464826414
200,16.189559383527627,55.10711212419987
250,24.069443449170645,48.89075615111269
300,36.226048791611674,47.47623174168478
400,48.25420868201371,39.60180432099039
500,76.19669964373107,47.44555540994562
